cf:id,edge_type,prov:type,prov:activity/ source,prov:entity/dst
14,0,5,189,158
55,0,2,199,18
10,0,2,188,15
38,0,5,195,158
34,0,2,194,17
41,0,1,196,158
29,0,1,193,158
5,0,1,187,158
26,0,6,192,158
22,0,2,191,16
1,0,7,186,139
17,0,1,190,158
46,0,2,197,18
50,0,6,198,158
6,1,3,187,15
11,1,0,188,38
19,1,3,190,16
23,1,0,191,40
47,1,0,197,9
2,1,3,186,15
51,1,3,198,9
39,1,3,195,42
15,1,3,189,38
43,1,3,196,18
35,1,0,194,42
31,1,3,193,17
27,1,3,192,40
68,0,2,178,11
101,0,2,169,4
52,0,7,181,145
72,0,5,179,158
61,0,1,182,145
66,0,1,183,145
78,0,7,180,158
64,0,6,183,145
65,0,4,183,145
76,0,4,180,158
62,1,3,182,19
69,1,0,178,13
56,1,0,199,11
53,1,3,181,19
74,1,3,179,12
102,1,11,169,161
85,0,4,183,149
82,0,4,183,149
83,0,1,183,149
81,0,6,183,149
84,0,6,183,149
79,0,1,183,149
86,0,7,183,149
110,0,10,171,163
122,0,2,172,14
127,0,10,170,162
112,1,3,171,14
123,1,11,172,164
120,1,3,171,14
129,1,3,170,7
148,0,8,175,166
174,0,1,168,141
175,0,7,168,141
166,0,1,177,157
131,0,1,173,151
169,0,7,177,157
165,0,4,177,157
168,0,6,168,140
132,0,2,173,14
145,0,2,174,1
172,0,4,168,141
159,0,10,176,166
163,0,6,177,157
137,0,10,167,159
133,1,11,173,165
138,1,3,167,8
161,1,3,176,3
146,1,14,174,166
135,1,11,173,160
150,1,3,175,2
140,1,3,167,8
222,0,6,183,149
223,0,4,183,149
173,0,9,177,202
245,0,2,185,19
236,0,7,184,146
246,0,7,185,146
234,0,4,184,146
235,0,1,184,146
242,0,7,185,146
225,0,1,183,146
240,0,7,185,146
227,0,4,183,143
224,0,1,183,149
229,0,2,183,19
243,0,2,185,19
241,0,2,185,19
221,0,1,183,149
233,0,6,184,146
237,0,2,184,19
244,0,7,185,146
