SRC_TYPE,SRC,DST,EDGE_LABEL
FILE,ccsetup574 (3892),C:\Windows\Prefetch\CCSETUP574.EXE-60A955CA.pf,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\Prefetch\CCSETUP574.EXE-60A955CA.pf,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\SYSTEM32\sechost.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\SYSTEM32\sechost.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\ccsetup574.exe.Local\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d\COMCTL32.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d\COMCTL32.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\IMM32.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\IMM32.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\IMM32.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\IMM32.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\IMM32.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\IMM32.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WindowsShell.Manifest,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\UXTHEME.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\UXTHEME.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\USERENV.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\USERENV.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\SETUPAPI.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\SETUPAPI.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\VERSION.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\VERSION.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\SHFOLDER.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\SHFOLDER.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rpcss.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rpcss.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rpcss.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rpcss.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\CRYPTBASE.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\CRYPTBASE.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\Globalization\Sorting\sortdefault.nls,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\SHELL32.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\ccsetup574.exe.Local\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\propsys.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\propsys.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Microsoft\Windows\Caches,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Microsoft\Windows\Caches\cversions.1.db,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\ntmarta.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\ntmarta.dll,FILEIO_CREATE
