Event_Name,Process_Name,File_Path,Time
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,10.4910
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,11.9094
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,13.2209
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,14.5562
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,15.9003
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,17.1943
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,18.4748
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,19.8219
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,21.2301
FileIO/Write,System,C:\Users\User\Downloads\PerfView\PerfViewData.kernel.etl,22.8847
FileIO/Write,PerfView,C:\Users\User\Downloads\PerfView\logfile.txt,22.9818
FileIO/Write,PerfView,C:\Users\User\Downloads\PerfView\logfile.txt,23.0465
FileIO/Write,PerfView,C:\Users\User\Downloads\PerfView\logfile.txt,36.7077
FileIO/Write,PerfView,C:\Users\User\Downloads\PerfView\logfile.txt,36.7167
FileIO/Create,PerfView,C:\Users\User\Downloads\PerfView,40.7662
FileIO/Create,PerfView,C:\Users\User\Downloads\PerfView\PerfViewData.etl,40.9423
FileIO/Write,PerfView,C:\Users\User\Downloads\PerfView\PerfViewData.etl,41.4184
FileIO/Create,PerfView,C:\Windows\system32\Kernel32.dll,52.4388
FileIO/Create,PerfView,C:\Windows\system32\Kernel32.dll,53.1699
FileIO/Read,PerfView,C:\Windows\System32\kernel32.dll,53.8313
FileIO/Read,PerfView,C:\Windows\System32\kernel32.dll,57.8203
FileIO/Read,PerfView,C:\Windows\System32\kernel32.dll,57.8264
FileIO/Read,svchost,C:\Device\HarddiskVolume2,95.9555
