Event_Name,Process_Name,Src_Addr,Src_Port,Dst_Addr,Dst_Port,Time
UdpIp/Send,svchost,10.0.2.15,"61,704",192.168.1.89,53,4007.6597
UdpIp/Recv,svchost,192.168.1.89,53,10.0.2.15,"61,704",4017.3289
UdpIp/Send,svchost,10.0.2.15,"51,090",192.168.1.89,53,4743.6151
UdpIp/Recv,svchost,192.168.1.89,53,10.0.2.15,"51,090",4753.5548
UdpIp/Send,System,10.0.2.15,137,10.0.2.255,137,4826.8659
UdpIp/Recv,System,10.0.2.15,137,10.0.2.255,137,4826.8936
UdpIp/Send,svchost,10.0.2.15,"63,940",192.168.1.89,53,4836.1721
UdpIp/Send,svchost,10.0.2.15,68,255.255.255.255,67,4838.4795
UdpIp/Recv,svchost,10.0.2.2,67,10.0.2.15,68,4838.7461
UdpIp/Recv,svchost,192.168.1.89,53,10.0.2.15,"63,940",4891.1936
TcpIp/Send,ccsetup574,10.0.2.15,"49,220",151.101.0.64,80,4904.1724
TcpIp/Recv,ccsetup574,10.0.2.15,"49,220",151.101.0.64,80,5191.4327
TcpIp/Recv,ccsetup574,10.0.2.15,"49,220",151.101.0.64,80,5191.7417
UdpIp/Send,svchost,10.0.2.15,"63,162",192.168.1.89,53,5199.7106
UdpIp/Recv,svchost,192.168.1.89,53,10.0.2.15,"63,162",5231.4465
TcpIp/Send,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5259.5058
TcpIp/Recv,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5285.7060
TcpIp/Recv,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5285.7069
TcpIp/Recv,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5285.7125
TcpIp/Recv,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5286.1977
TcpIp/Recv,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5286.1982
TcpIp/Recv,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5286.1997
TcpIp/Send,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5299.6576
TcpIp/Recv,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5324.8420
TcpIp/Send,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5338.2442
TcpIp/Recv,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5367.3835
TcpIp/Recv,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443,5367.3867
UdpIp/Send,System,10.0.2.15,137,10.0.2.255,137,5566.2030
UdpIp/Recv,System,10.0.2.15,137,10.0.2.255,137,5566.2240
UdpIp/Send,svchost,10.0.2.15,"54,754",192.168.1.89,53,5745.2518
UdpIp/Recv,svchost,192.168.1.89,53,10.0.2.15,"54,754",5778.0450
UdpIp/Send,svchost,10.0.2.15,"58,801",192.168.1.89,53,5794.6160
UdpIp/Recv,svchost,192.168.1.89,53,10.0.2.15,"58,801",5805.6695
