Event_Name,Process_Name,File_Path,Time,PID
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,10.4910,4
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,11.9094,4
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,13.2209,4
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,14.5562,4
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,15.9003,4
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,17.1943,4
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,18.4748,4
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,19.8219,4
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,21.2301,4
FileIO/Write,System,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,22.8847,4
FileIO/Write,PerfView,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,22.9818,3568
FileIO/Write,PerfView,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,23.0465,3568
FileIO/Write,PerfView,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,36.7077,3568
FileIO/Write,PerfView,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,36.7167,3568
FileIO/Create,PerfView,C:\\Users\\User\\Downloads\\PerfView,40.7662,3568
FileIO/Create,PerfView,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.etl,40.9423,3568
FileIO/Write,PerfView,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.etl,41.4184,3568
FileIO/Create,PerfView,C:\\Windows\\system32\\Kernel32\.dll,52.4388,3568
FileIO/Create,PerfView,C:\\Windows\\system32\\Kernel32\.dll,53.1699,3568
FileIO/Read,PerfView,C:\\Windows\\System32\\kernel32\.dll,53.8313,3568
FileIO/Read,PerfView,C:\\Windows\\System32\\kernel32\.dll,57.8203,3568
FileIO/Read,PerfView,C:\\Windows\\System32\\kernel32\.dll,57.8264,3568
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,95.9555,3492
FileIO/Create,SearchProtocolHost,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,96.0618,2548
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,152.2717,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,152.9673,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,153.7631,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,154.4786,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,155.3367,3492
FileIO/Write,PerfView,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,171.4502,3568
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,178.6068,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,191.1468,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,191.8706,3492
FileIO/Read,svchost,C:\\pagefile\.sys,199.7572,3492
FileIO/Read,svchost,C:\\pagefile\.sys,201.0117,3492
FileIO/Read,svchost,C:\\pagefile\.sys,201.4872,3492
FileIO/Read,svchost,C:\\pagefile\.sys,203.0000,3492
FileIO/Read,svchost,C:\\pagefile\.sys,204.1300,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,210.9158,3492
FileIO/Read,svchost,C:\\pagefile\.sys,220.2952,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,223.3968,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,224.3157,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,224.9908,3492
FileIO/Read,svchost,C:\\Device\\HarddiskVolume2,226.7055,3492
FileIO/Read,svchost,C:\\pagefile\.sys,255.3329,3492
