Time,EventName,PID,PName,ProcessID,ParentID,CommandLine,ImageBase,UniqueProcessKey
9.6924,Process/DCStart,0,Idle,0,0,,Idle,0x82930780
9.6964,Process/DCStart,4,System,4,0,,System,0x8483C948
9.7548,Process/DCStart,252,smss,252,4,\\SystemRoot\\System32\\smss\.exe,smss.exe,0x84F3CD20
9.7908,Process/DCStart,328,csrss,328,312,"%SystemRoot%\\system32\\csrss\.exe\ ObjectDirectory=\\Windows\ SharedSection=1024,12288,512\ Windows=On\ SubSystemType=Windows\ ServerDll=basesrv,1\ ServerDll=winsrv:UserServerDllInitialization,3\ ServerDll=winsrv:ConServerDllInitialization,2\ ServerDll=sxssrv,4\ ProfileControl=Off\ MaxRequestThreads=16",csrss.exe,0x8568E458
9.9025,Process/DCStart,364,wininit,364,312,wininit\.exe,wininit.exe,0x856AAD20
10.0463,Process/DCStart,372,csrss,372,356,"%SystemRoot%\\system32\\csrss\.exe\ ObjectDirectory=\\Windows\ SharedSection=1024,12288,512\ Windows=On\ SubSystemType=Windows\ ServerDll=basesrv,1\ ServerDll=winsrv:UserServerDllInitialization,3\ ServerDll=winsrv:ConServerDllInitialization,2\ ServerDll=sxssrv,4\ ProfileControl=Off\ MaxRequestThreads=16",csrss.exe,0x856A7560
10.1423,Process/DCStart,400,winlogon,400,356,winlogon\.exe,winlogon.exe,0x856BBD20
10.2899,Process/DCStart,460,services,460,364,C:\\Windows\\system32\\services\.exe,services.exe,0x856D95A8
10.4431,Process/DCStart,468,lsass,468,364,C:\\Windows\\system32\\lsass\.exe,lsass.exe,0x856E4100
10.9541,Process/DCStart,476,lsm,476,364,C:\\Windows\\system32\\lsm\.exe,lsm.exe,0x856E63F8
11.0554,Process/DCStart,584,svchost,584,460,C:\\Windows\\system32\\svchost\.exe\ \-k\ DcomLaunch,svchost.exe,0x85756030
11.2992,Process/DCStart,644,VBoxService,644,460,C:\\Windows\\System32\\VBoxService\.exe,VBoxService.exe,0x8576BA48
11.4664,Process/DCStart,700,svchost,700,460,C:\\Windows\\system32\\svchost\.exe\ \-k\ RPCSS,svchost.exe,0x8577B318
11.6116,Process/DCStart,788,svchost,788,460,C:\\Windows\\System32\\svchost\.exe\ \-k\ LocalServiceNetworkRestricted,svchost.exe,0x8579D988
12.1546,Process/DCStart,856,svchost,856,460,C:\\Windows\\System32\\svchost\.exe\ \-k\ LocalSystemNetworkRestricted,svchost.exe,0x857B8D20
12.5763,Process/DCStart,904,svchost,904,460,C:\\Windows\\system32\\svchost\.exe\ \-k\ LocalService,svchost.exe,0x857C5648
13.1216,Process/DCStart,928,svchost,928,460,C:\\Windows\\system32\\svchost\.exe\ \-k\ netsvcs,svchost.exe,0x857DE030
13.9816,Process/DCStart,1164,svchost,"1,164",460,C:\\Windows\\system32\\svchost\.exe\ \-k\ NetworkService,svchost.exe,0x85823368
14.3222,Process/DCStart,1328,spoolsv,"1,328",460,C:\\Windows\\System32\\spoolsv\.exe,spoolsv.exe,0x85864540
14.7771,Process/DCStart,1356,svchost,"1,356",460,C:\\Windows\\system32\\svchost\.exe\ \-k\ LocalServiceNoNetwork,svchost.exe,0x85873030
