Time,EventName,PID,PName,ImageBase,FileName
9.7186,Image/DCStart,0,Idle,0x82800000,C:\\Windows\\system32\\ntoskrnl\.exe
9.7192,Image/DCStart,0,Idle,0x82C0F000,C:\\Windows\\system32\\halmacpi\.dll
9.7194,Image/DCStart,0,Idle,0x80BC6000,C:\\Windows\\system32\\kdcom\.dll
9.7196,Image/DCStart,0,Idle,0x89007000,C:\\Windows\\system32\\mcupdate_GenuineIntel\.dll
9.7197,Image/DCStart,0,Idle,0x8908C000,C:\\Windows\\system32\\PSHED\.dll
9.7199,Image/DCStart,0,Idle,0x8909D000,C:\\Windows\\system32\\BOOTVID\.dll
9.7200,Image/DCStart,0,Idle,0x890A5000,C:\\Windows\\system32\\CLFS\.SYS
9.7202,Image/DCStart,0,Idle,0x890E7000,C:\\Windows\\system32\\CI\.dll
9.7204,Image/DCStart,0,Idle,0x8914F000,C:\\Windows\\system32\\drivers\\Wdf01000\.sys
9.7206,Image/DCStart,0,Idle,0x891D0000,C:\\Windows\\system32\\drivers\\WDFLDR\.SYS
9.7207,Image/DCStart,0,Idle,0x891DE000,C:\\Windows\\system32\\drivers\\ACPI\.sys
9.7209,Image/DCStart,0,Idle,0x89226000,C:\\Windows\\system32\\drivers\\WMILIB\.SYS
9.7210,Image/DCStart,0,Idle,0x8922F000,C:\\Windows\\system32\\drivers\\msisadrv\.sys
9.7212,Image/DCStart,0,Idle,0x89237000,C:\\Windows\\system32\\drivers\\pci\.sys
9.7214,Image/DCStart,0,Idle,0x89261000,C:\\Windows\\system32\\drivers\\vdrvroot\.sys
9.7216,Image/DCStart,0,Idle,0x8926C000,C:\\Windows\\System32\\drivers\\partmgr\.sys
9.7217,Image/DCStart,0,Idle,0x8927D000,C:\\Windows\\system32\\DRIVERS\\compbatt\.sys
9.7218,Image/DCStart,0,Idle,0x89285000,C:\\Windows\\system32\\DRIVERS\\BATTC\.SYS
9.7220,Image/DCStart,0,Idle,0x89290000,C:\\Windows\\system32\\drivers\\volmgr\.sys
9.7221,Image/DCStart,0,Idle,0x892A0000,C:\\Windows\\System32\\drivers\\volmgrx\.sys
9.7223,Image/DCStart,0,Idle,0x892EB000,C:\\Windows\\System32\\drivers\\mountmgr\.sys
9.7224,Image/DCStart,0,Idle,0x89301000,C:\\Windows\\system32\\drivers\\atapi\.sys
9.7226,Image/DCStart,0,Idle,0x8930A000,C:\\Windows\\system32\\drivers\\ataport\.SYS
9.7227,Image/DCStart,0,Idle,0x8932D000,C:\\Windows\\system32\\drivers\\msahci\.sys
9.7229,Image/DCStart,0,Idle,0x89337000,C:\\Windows\\system32\\drivers\\PCIIDEX\.SYS
9.7230,Image/DCStart,0,Idle,0x89345000,C:\\Windows\\system32\\drivers\\amdxata\.sys
9.7232,Image/DCStart,0,Idle,0x8934E000,C:\\Windows\\system32\\drivers\\fltmgr\.sys
9.7233,Image/DCStart,0,Idle,0x89382000,C:\\Windows\\system32\\drivers\\fileinfo\.sys
9.7235,Image/DCStart,0,Idle,0x89428000,C:\\Windows\\System32\\Drivers\\Ntfs\.sys
9.7236,Image/DCStart,0,Idle,0x89559000,C:\\Windows\\System32\\Drivers\\msrpc\.sys
9.7237,Image/DCStart,0,Idle,0x89584000,C:\\Windows\\System32\\Drivers\\ksecdd\.sys
9.7239,Image/DCStart,0,Idle,0x89597000,C:\\Windows\\System32\\Drivers\\cng\.sys
9.7240,Image/DCStart,0,Idle,0x895F5000,C:\\Windows\\system32\\DRIVERS\\VBoxGuest\.sys
9.7242,Image/DCStart,0,Idle,0x89636000,C:\\Windows\\System32\\drivers\\pcw\.sys
9.7243,Image/DCStart,0,Idle,0x89644000,C:\\Windows\\System32\\Drivers\\Fs_Rec\.sys
9.7245,Image/DCStart,0,Idle,0x8964D000,C:\\Windows\\system32\\drivers\\ndis\.sys
9.7246,Image/DCStart,0,Idle,0x89705000,C:\\Windows\\system32\\drivers\\NETIO\.SYS
9.7248,Image/DCStart,0,Idle,0x89744000,C:\\Windows\\System32\\Drivers\\ksecpkg\.sys
9.7249,Image/DCStart,0,Idle,0x89813000,C:\\Windows\\System32\\drivers\\tcpip\.sys
9.7251,Image/DCStart,0,Idle,0x89963000,C:\\Windows\\System32\\drivers\\fwpkclnt\.sys
9.7252,Image/DCStart,0,Idle,0x89994000,C:\\Windows\\system32\\drivers\\vmstorfl\.sys
9.7255,Image/DCStart,0,Idle,0x8999D000,C:\\Windows\\system32\\drivers\\volsnap\.sys
9.7258,Image/DCStart,0,Idle,0x899DC000,C:\\Windows\\System32\\Drivers\\spldr\.sys
9.7259,Image/DCStart,0,Idle,0x899E4000,C:\\Windows\\System32\\drivers\\rdyboost\.sys
9.7262,Image/DCStart,0,Idle,0x89A11000,C:\\Windows\\System32\\Drivers\\mup\.sys
9.7264,Image/DCStart,0,Idle,0x89A21000,C:\\Windows\\System32\\drivers\\hwpolicy\.sys
9.7266,Image/DCStart,0,Idle,0x89A29000,C:\\Windows\\System32\\DRIVERS\\fvevol\.sys
9.7267,Image/DCStart,0,Idle,0x89A5B000,C:\\Windows\\system32\\drivers\\disk\.sys
9.7269,Image/DCStart,0,Idle,0x89A6C000,C:\\Windows\\system32\\drivers\\CLASSPNP\.SYS
9.7272,Image/DCStart,0,Idle,0x89AC4000,C:\\Windows\\system32\\DRIVERS\\cdrom\.sys
9.7274,Image/DCStart,0,Idle,0x89AE3000,C:\\Windows\\System32\\Drivers\\Null\.SYS
9.7276,Image/DCStart,0,Idle,0x89AEA000,C:\\Windows\\System32\\Drivers\\Beep\.SYS
9.7279,Image/DCStart,0,Idle,0x89AF1000,C:\\Windows\\System32\\drivers\\vga\.sys
9.7281,Image/DCStart,0,Idle,0x89AFD000,C:\\Windows\\System32\\drivers\\VIDEOPRT\.SYS
9.7284,Image/DCStart,0,Idle,0x89B1D000,C:\\Windows\\System32\\drivers\\watchdog\.sys
9.7286,Image/DCStart,0,Idle,0x89B2A000,C:\\Windows\\System32\\DRIVERS\\RDPCDD\.sys
9.7288,Image/DCStart,0,Idle,0x89B32000,C:\\Windows\\system32\\drivers\\rdpencdd\.sys
9.7291,Image/DCStart,0,Idle,0x89B3A000,C:\\Windows\\system32\\drivers\\rdprefmp\.sys
9.7293,Image/DCStart,0,Idle,0x89B42000,C:\\Windows\\System32\\Drivers\\Msfs\.SYS
9.7295,Image/DCStart,0,Idle,0x89B4D000,C:\\Windows\\System32\\Drivers\\Npfs\.SYS
9.7297,Image/DCStart,0,Idle,0x89B5B000,C:\\Windows\\system32\\DRIVERS\\tdx\.sys
9.7299,Image/DCStart,0,Idle,0x89B72000,C:\\Windows\\system32\\DRIVERS\\TDI\.SYS
9.7301,Image/DCStart,0,Idle,0x89B7E000,C:\\Windows\\system32\\drivers\\afd\.sys
9.7303,Image/DCStart,0,Idle,0x8976A000,C:\\Windows\\System32\\DRIVERS\\netbt\.sys
9.7305,Image/DCStart,0,Idle,0x89BD8000,C:\\Windows\\system32\\DRIVERS\\wfplwf\.sys
9.7307,Image/DCStart,0,Idle,0x89BDF000,C:\\Windows\\system32\\DRIVERS\\pacer\.sys
9.7309,Image/DCStart,0,Idle,0x89800000,C:\\Windows\\system32\\DRIVERS\\netbios\.sys
9.7312,Image/DCStart,0,Idle,0x8979D000,C:\\Windows\\System32\\drivers\\VBoxSF\.sys
9.7314,Image/DCStart,0,Idle,0x89400000,C:\\Windows\\system32\\DRIVERS\\wanarp\.sys
9.7316,Image/DCStart,0,Idle,0x89413000,C:\\Windows\\system32\\drivers\\termdd\.sys
9.7318,Image/DCStart,0,Idle,0x89393000,C:\\Windows\\system32\\DRIVERS\\rdbss\.sys
9.7321,Image/DCStart,0,Idle,0x897EF000,C:\\Windows\\system32\\drivers\\nsiproxy\.sys
9.7323,Image/DCStart,0,Idle,0x893D6000,C:\\Windows\\system32\\drivers\\mssmbios\.sys
9.7325,Image/DCStart,0,Idle,0x893E0000,C:\\Windows\\System32\\drivers\\discache\.sys
9.7331,Image/DCStart,0,Idle,0x90028000,C:\\Windows\\system32\\drivers\\csc\.sys
